% min: [7.232822, 9.483873, 1.00919, 0.448446, 0.451633, 0.854304, 9.635544, 6.669126] 
% max: [383.032661, 316.851432, 170.252791, 75.799328, 74.505034, 167.726755, 329.469749, 335.216314] 
% i/o: [8, 5] 
@relation 'data10000'
@attribute FD1 numeric
@attribute FD2 numeric
@attribute FD3 numeric
@attribute FD4 numeric
@attribute FD5 numeric
@attribute FD6 numeric
@attribute FD7 numeric
@attribute FD8 numeric
@attribute State {1,2,3,4,5}

@data
84.569806,32.480897,13.626916,7.408599,6.862870,13.876225,31.279642,65.793503,3
81.130996,34.324203,13.257000,7.889183,7.235269,13.239976,34.495518,63.283022,3
75.410015,35.801958,13.721274,7.772363,6.934449,13.937054,35.511134,59.290952,3
70.413808,35.284367,13.437543,7.231941,6.625872,13.489963,35.579971,54.556038,3
73.849444,32.730479,12.807420,7.631640,7.458526,12.578028,32.748450,57.519107,3
72.417744,32.060921,13.669267,7.514292,6.916640,13.019625,33.202990,55.349994,3
71.618026,32.756641,15.462667,9.197678,9.238754,14.078156,34.271925,53.991291,3
73.770840,36.568649,14.089419,8.180320,7.757764,12.922778,37.170824,56.562965,3
73.623064,37.469267,12.871533,9.015285,8.257525,12.957858,37.667772,56.194753,3
74.909179,37.237990,14.372885,7.989854,7.247646,14.426857,37.763040,56.959692,3
75.704439,36.972024,12.131064,8.452030,8.081921,11.344212,37.934240,57.422378,3
76.294391,37.109382,12.617637,7.936455,8.175627,11.610010,37.773811,58.661623,3
75.367804,36.031100,13.421167,7.118748,7.113056,12.969373,36.177328,57.648613,3
75.784967,35.225960,13.058425,7.075356,7.300192,12.692152,35.561073,57.325916,3
76.682306,34.996778,13.086083,7.179336,7.081929,12.887743,35.560876,58.406998,3
73.359470,38.097736,13.567225,7.974714,7.962686,13.090607,37.697959,57.944138,3
78.104360,38.131642,13.621827,7.696425,7.410263,12.693579,39.310468,63.433675,3
72.521779,37.101653,16.387297,11.374362,11.448998,15.410875,37.275351,61.233482,3
73.387023,35.876790,16.638107,8.487044,8.372814,15.895857,37.031237,63.046038,3
73.652472,39.806923,14.668462,11.417857,11.216351,14.442490,39.289262,67.091776,3
81.970045,35.180076,13.062256,8.638782,8.416582,12.894469,34.721489,78.789666,3
80.127485,37.309359,13.668719,8.941531,8.818211,12.662281,36.518591,82.059757,3
77.151900,38.727134,19.260797,11.339749,10.953385,18.042990,40.378033,74.333064,3
78.004297,35.781904,18.148756,15.030209,14.809266,17.067389,36.466253,72.819625,3
81.573571,37.659822,13.859643,9.412115,8.563726,13.448607,37.955233,73.352040,3
81.491205,39.265886,12.814545,8.307130,7.499583,12.158934,38.405388,70.788301,3
86.817928,35.546972,13.273963,9.358801,8.472168,12.425118,36.616774,71.074132,3
90.259721,39.499896,18.726008,11.160206,10.655616,17.257383,39.151572,72.906339,3
97.265357,36.031871,18.118761,12.988087,12.231949,17.262155,36.616284,75.705705,3
89.348340,41.557639,17.487927,9.419854,8.992896,16.445615,40.626361,65.883709,3
92.185865,39.276385,12.534248,10.247029,9.330828,12.415471,38.339127,64.463653,3
88.974641,40.686568,13.175671,7.742546,7.047553,12.332391,39.112942,59.220612,3
89.674466,38.629785,16.125170,10.724123,9.574885,15.502762,39.000884,55.977304,3
91.733361,39.359546,18.783668,10.572987,10.223705,17.454670,38.733201,56.790718,3
92.455146,39.308729,17.087882,10.077194,9.097489,16.715575,38.863595,54.162438,3
98.669030,38.970873,11.979240,7.463488,6.791486,12.081527,37.345996,57.978169,3
91.335228,37.320641,12.409026,8.957641,8.099148,12.177230,37.389871,46.334591,3
90.982496,35.963852,17.057702,7.089860,6.991726,15.901691,35.629115,45.269345,3
90.282623,36.079296,14.487906,9.130922,8.224166,14.312829,35.639921,43.397652,3
89.781145,33.763481,12.257445,6.996040,7.110316,12.243283,33.175875,41.369118,3
87.030868,34.193111,15.152347,8.434805,9.147366,15.132068,33.005273,39.143738,3
85.777871,34.980537,14.003446,7.481558,7.461648,13.793579,34.432130,38.302578,3
87.172360,35.245236,12.524736,9.004449,8.460158,12.153295,36.194333,38.004551,3
90.276847,34.700137,14.681755,7.541174,7.611097,13.734988,35.153755,40.790379,3
89.831816,34.630611,13.370591,7.753102,7.506670,13.306688,34.309284,39.355669,3
85.414836,35.784434,11.798013,5.920762,6.373628,11.934717,35.096649,33.277605,3
83.568545,35.884802,11.297381,6.392269,6.658859,11.125645,36.030056,29.589474,3
82.521096,35.032916,12.845676,6.048875,6.530549,12.347044,34.848685,28.854113,3
82.234113,34.493211,13.253098,6.143497,6.311753,12.943062,34.622078,28.190915,3
83.129257,34.960077,12.199134,5.983454,6.517801,12.026661,34.972982,29.062500,3
83.414368,39.381257,11.904214,6.700257,7.542241,11.585127,38.786242,30.346581,3
83.410961,39.984252,12.019789,6.323667,6.710141,11.993288,39.476966,30.300907,3
83.075290,38.811354,13.062287,5.401188,5.760189,12.885442,38.793466,30.264457,3
82.553218,39.511189,15.339421,6.414013,6.631761,14.417313,39.740114,31.427502,3
80.791744,38.763651,13.345090,5.610341,5.955518,12.700983,38.287973,30.576007,3
82.111219,36.437817,12.192010,7.732729,7.985592,12.236728,36.479266,31.263437,3
81.966916,35.875732,11.906832,6.120143,6.290536,12.165396,35.640878,30.665003,3
79.878109,37.951702,11.239717,5.330281,5.948333,10.806431,37.578982,29.803983,3
80.512093,36.792821,13.484035,5.192404,5.637063,12.445845,37.956340,30.607976,3
74.528302,37.874868,14.686222,5.649903,6.183663,13.984287,37.601848,27.103646,3
75.398449,37.304883,13.333379,5.270391,6.311041,12.441987,37.310327,28.106161,3
75.504604,36.639217,13.770881,6.753711,7.615490,13.503040,36.393420,28.148085,3
75.854272,34.668256,12.449093,4.848623,5.593366,12.126513,33.469149,30.104433,3
76.278439,35.139957,13.381000,4.917307,5.227715,12.761522,34.417572,31.534869,3
77.987881,35.492969,12.719342,4.752368,5.220351,11.950565,35.621591,33.383456,3
76.374579,37.847280,14.576858,7.800345,8.788859,13.453249,37.089548,34.194011,3
72.475914,38.427559,15.557723,8.262441,8.581633,15.125566,37.981207,31.653293,3
72.294853,37.469124,12.106852,4.878483,4.789316,11.990229,36.841376,32.662660,3
68.128709,38.164207,12.891633,5.203720,5.017077,12.203784,38.345525,30.200308,3
68.222461,38.928955,12.116509,6.384197,6.584901,11.051642,38.749900,32.171112,3
66.029543,39.336625,15.584415,7.665214,7.581299,14.740335,40.224326,30.008937,3
61.877575,39.875447,13.532777,8.387988,8.942560,12.427396,40.121641,27.483852,3
61.160301,38.832354,11.517276,5.927021,6.184050,11.063506,37.763080,28.186081,3
60.246739,36.433688,11.127993,6.712248,6.436201,10.182233,36.247701,28.494950,3
60.521515,36.141901,12.200387,6.045284,6.044728,10.958976,37.450327,28.822482,3
57.743148,37.046267,15.903307,7.543679,8.130460,13.984547,37.501528,28.749225,3
55.891502,37.129966,14.361633,9.033617,8.818830,13.625156,37.309934,27.508678,3
